DealerID;Name;Address1;Address2;City;State;ZipCode;Phone;StoreID;URL;Latitude;Longitude;NewDate;ST;SA;Simmons OHM BT;Serta OHM BT;OHM CG;Legacy Simmons DealerID;Legacy Simmons OHM BT;Legacy Serta DealerID;Legacy Serta OHM_BT;Licensee Territory;LR Number;Brand;Rep SalesTeam;Rep Region;Rep Branch;Rep Territory;Sales Channel;Market Segment;Status Level;Rep Store Success;Hide From PTV;Email;Hide From Locator;FName;LName;User_ID;Simmons Approver;Simmons Approver_Rep_ID;Simmons Approver_User_ID;Serta Approver;Serta Approver_Rep_ID;Serta Approver_User_ID;freq;freqPhone;visitRhythm;Total Wholesale
46;Nebraska Furniture Mart;700 S 72nd St;;Omaha;NE;"	68114";(800) 359-1200;"	";www.nfm.com;"	41.2530654";"	-96.0246491";41:34,6;717525;717525;"	717525";"	";"	50180001";"	 ";"	 ";"	 ";"	 ";"	NO        ";29490;SIMMONS;Store Success;West;Mid West 1;Mid West 1_08;;;Black Diamond Preferred;YES;0;;0;Melissa;Ullrich;102021;Harris, Rick (Rep RHR);Rep RHR;101762;;;;48;0;1;
1201;Prince's Furniture;25 Farwell Dr;;Rockland;ME;"	04841";(800) 281-3796;"	";;"	44.1676274";"	-69.1595618";07:15,3;35253;35253;"	735253";"	";"	70040003";"	 ";"	 ";"	 ";"	 ";"	NO        ";16402;SIMMONS;Serta Simmons Bedding;SSB;Boston;Boston_04;;;;NO;0;princes_inc@yahoo.com;0;Peter;Connolly;101770;Marano, Jacki (Rep JMA);Rep JMA;101558;;;;0;0;4;
1211;Allen Wayside Furniture;Rte. 16;;Conway;NH;"	03818";(603) 447-2330;"	";;"	43.9786478";"	-71.1202829";00:00,0;436487;417695;"	7417695";"	";"	70050002";"	 ";"	 ";"	 ";"	 ";"	NO        ";16406;SIMMONS;Serta Simmons Bedding;SSB;Boston;Boston_07;;;;NO;0;;0;Catherine;Addessa;101838;Marano, Jacki (Rep JMA);Rep JMA;101558;;;;0;;4;
1263;Art Van Furniture;2090 West M 32;;Gaylord;MI;"	49735";(616) 940-2070;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	45.0282465";"	-84.7164009";41:37,8;7183060;7183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";16407;SIMMONS;Store Success;West;Mid West 2;Mid West 2_11;National;Department Stores;;YES;0;;0;Susan;Ziober;100994;Pesta, Kevin (Rep PES);Rep PES;100563;;;;6;4;8;
1265;Art Van Furniture;5053 Dixie Highway;;Waterford;MI;"	48329";(248) 674-4731;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	42.6919968";"	-83.3897469";41:37,8;7183060;7183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";29516;SIMMONS;Store Success;West;Mid West 2;Mid West 2_03;National;Department Stores;;YES;0;;0;Chris;Osowski;102051;Pesta, Kevin (Rep PES);Rep PES;100563;;;;12;12;4;
1266;Art Van Furniture;4577 Miller Road;;Flint;MI;"	48507";(810) 733-3110;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	42.9757305";"	-83.7703214";41:37,8;7183060;7183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";16408;SIMMONS;Store Success;West;Mid West 2;Mid West 2_11;National;Department Stores;;YES;0;;0;Susan;Ziober;100994;Pesta, Kevin (Rep PES);Rep PES;100563;;;;24;12;2;
1267;Art Van Furniture;2660 Tittabawassee Road;;Saginaw;MI;"	48604";(989) 790-2221;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	43.4807817";"	-83.968144";41:37,8;661145;183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";16409;SIMMONS;Store Success;West;Mid West 2;Mid West 2_11;National;Department Stores;;YES;0;;0;Susan;Ziober;100994;Pesta, Kevin (Rep PES);Rep PES;100563;;;;24;12;2;
1268;Art Van Furniture;4095 East Court Street;;Burton;MI;"	48509";(810) 742-9120;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	43.0196056";"	-83.6312704";41:37,9;7183060;7183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";16410;SIMMONS;Store Success;West;Mid West 2;Mid West 2_11;National;Department Stores;;YES;0;;0;Susan;Ziober;100994;Pesta, Kevin (Rep PES);Rep PES;100563;;;;12;4;4;
1269;Art Van Furniture;4150 Wilder Road;;Bay City;MI;"	48706";(989) 667-4700;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	43.6227461";"	-83.8887547";41:37,9;7183060;7183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";25393;SIMMONS;Store Success;West;Mid West 2;Mid West 2_11;National;Department Stores;;YES;0;;0;Susan;Ziober;100994;Pesta, Kevin (Rep PES);Rep PES;100563;;;;12;12;4;
1270;Art Van Furniture;550 Ring Road;;Portage;MI;"	49024";(269) 233-3222;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	42.2237161";"	-85.5949461";19:44,4;183060;183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";25394;SIMMONS;Store Success;West;Mid West 2;Mid West 2_11;National;Department Stores;;YES;0;;0;Susan;Ziober;100994;Pesta, Kevin (Rep PES);Rep PES;100563;;;;24;0;2;
1273;Art Van Furniture;950 North West Avenue;;Jackson;MI;"	49202";(517) 784-6700;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	42.2611893";"	-84.4252217";41:38,0;7183060;7183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";25395;SIMMONS;Store Success;West;Mid West 2;Mid West 2_11;National;Department Stores;;YES;0;;0;Susan;Ziober;100994;Pesta, Kevin (Rep PES);Rep PES;100563;;;;12;12;4;
1275;Art Van Furniture;12610 Felch Street;Ste 100;Holland;MI;"	49424";(616) 786-3400;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	42.8177705";"	-86.0922211";41:38,0;661145;183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";25396;SIMMONS;Store Success;West;Mid West 2;Mid West 2_11;National;Department Stores;;YES;0;;0;Susan;Ziober;100994;Pesta, Kevin (Rep PES);Rep PES;100563;;;;24;12;2;
1276;Art Van Furniture;1775 Oak Hollow Drive;;Traverse City;MI;"	49686";(231) 932-1050;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	44.734047";"	-85.6117153";41:38,0;7183060;7183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";16411;SIMMONS;Store Success;West;Mid West 2;Mid West 2_11;National;Department Stores;;YES;0;;0;Susan;Ziober;100994;Pesta, Kevin (Rep PES);Rep PES;100563;;;;12;12;4;
1277;Art Van Furniture;630 Seminole Rd;;Muskegon;MI;"	49441";(231) 733-2141;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	43.1871721";"	-86.2607728";41:38,1;7183060;7183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";16412;SIMMONS;Store Success;West;Mid West 2;Mid West 2_11;National;Department Stores;;YES;0;;0;Susan;Ziober;100994;Pesta, Kevin (Rep PES);Rep PES;100563;;;;12;12;4;
1279;Art Van Furniture;6100 B Dr N;;Battle Creek;MI;"	49014";(269) 979-1091;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	42.2575581";"	-85.1748423";41:38,1;7183060;7183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";16413;SIMMONS;Store Success;West;Mid West 2;Mid West 2_11;National;Department Stores;;YES;0;;0;Susan;Ziober;100994;Pesta, Kevin (Rep PES);Rep PES;100563;;;;12;12;4;
1282;Art Van Furniture;4273 Alpine Avenue;;Comstock Park;MI;"	49321";(616) 784-1041;"	";https://www.artvan.com/Furniture/Store/ArtVanCategoryDisplayView?catalogId=10051&langId=-1&storeId=10052&N=141+230+4294965766&?ICID=glblnav;"	43.0413967";"	-85.6926888";41:38,1;661145;183060;"	7183060";"	";"	10020000";"	 ";"	 ";"	 ";"	 ";"	yes       ";29491;SIMMONS;Store Success;West;Mid West 2;Mid West 2_11;National;Department Stores;;YES;0;;0;Susan;Ziober;100994;Pesta, Kevin (Rep PES);Rep PES;100563;;;;24;0;2;
1374;Mattress and Futon Outlet;1755 Ford Ln;;Saint Charles;MO;"	63303";(636) 947-4900;"	";www.mattressandfutonoutlet.com/;"	38.7649832";"	-90.5251445";07:15,3;416343;416343;"	7416343";"	";"	90002733";"	 ";"	 ";"	 ";"	 ";"	NO        ";16414;SIMMONS;Serta Simmons Bedding;SSB;Chicago;Chicago_00;;;;NO;0;furnituretoday@aol.com;0;Allie;Schaefer;101795;Heigl, Jeff (REP JEH);REP JEH;102027;;;;0;0;4;
1402;Mattress and Futon Outlet;111 N US Highway 67;;Florissant;MO;"	63031";(314) 830-1511;"	";www.mattressandfutonoutlet.com/;"	38.7955324";"	-90.3408956";07:15,4;416343;416343;"	7416343";"	";"	90002733";"	 ";"	 ";"	 ";"	 ";"	NO        ";16415;SIMMONS;Serta Simmons Bedding;SSB;Chicago;Chicago_00;;;;NO;0;;0;Allie;Schaefer;101795;Heigl, Jeff (REP JEH);REP JEH;102027;;;;0;0;4;
1404;Mattress and Futon Outlet;10626 Baptist Church Rd;;Saint Louis;MO;"	63128";(314) 843-2610;"	";www.mattressandfutonoutlet.com/;"	38.5229414";"	-90.3615281";07:15,4;416343;416343;"	7416343";"	";"	90002733";"	 ";"	 ";"	 ";"	 ";"	NO        ";16416;SIMMONS;Serta Simmons Bedding;SSB;Chicago;Chicago_00;;;;NO;0;;0;Allie;Schaefer;101795;Heigl, Jeff (REP JEH);REP JEH;102027;;;;0;;4;
1406;Mattress and Futon Outlet;15438 Manchester Rd;;Ballwin;MO;"	63011";(636) 230-3600;"	";www.mattressandfutonoutlet.com/;"	38.5927899";"	-90.5648002";07:15,4;416343;416343;"	7416343";"	";"	90002733";"	 ";"	 ";"	 ";"	 ";"	NO        ";16417;SIMMONS;Serta Simmons Bedding;SSB;Chicago;Chicago_00;;;;NO;0;;0;Allie;Schaefer;101795;Heigl, Jeff (REP JEH);REP JEH;102027;;;;0;0;4;
1420;The Mattress Store And More;935 N Baldwin Ave;;Marion;IN;"	46952";(765) 651-0233;"	";;"	40.5685239";"	-85.6772983";00:00,0;417753;417753;"	7417754";"	";"	90002763";"	 ";"	 ";"	 ";"	 ";"	NO        ";10105;SIMMONS;Serta Simmons Bedding;SSB;Corporate;Corporate;;;;NO;0;mattress9351@sbcglobal.net;1;Heather;Redman;102032;Morrissey, Heather (Rep HMO);Rep HMO;101670;;;;8;;4;
1436;Weylands Furniture and Gifts;511 East Morgan Street;;Boonville;MO;"	65233";(660) 882-6156;"	";;"	38.9766436";"	-92.7436113";41:38,3;448035;213354;"	7213354";"	";"	90002241";"	 ";"	 ";"	 ";"	 ";"	NO        ";16419;SIMMONS;Serta Simmons Bedding;SSB;Houston;Houston_06;;;;NO;0;jnwey@socket.net;0;Aaron;Reigle;102028;Morgan, Mickey (Rep MMR);Rep MMR;101757;;;;0;0;8;
1546;Hollywood Furniture  Hardware;2461 Chelsea Ave;;Memphis;TN;"	38108";(901) 323-3860;"	";;"	35.1742632";"	-89.9752359";41:38,7;6015;6015;"	76015";"	";"	90004517";"	 ";"	 ";"	 ";"	 ";"	NO        ";16421;SIMMONS;Serta Simmons Bedding;SSB;Corporate;Corporate;;;;NO;0;bart@hollywoodfurniture.net;0;Alicia;Lomber;102091;Morrissey, Heather (Rep HMO);Rep HMO;101670;;;;8;0;8;
1550;New England Mattress  Futon;136 Worcester St;;Natick;MA;"	01760";(508) 653-4900;"	";www.newenglandmattressandfuton.com;"	42.30341";"	-71.3315479";41:38,7;183516;183516;"	7301529";"	";"	90002555";"	 ";"	 ";"	 ";"	 ";"	NO        ";16422;SIMMONS;Serta Simmons Bedding;SSB;Corporate;Corporate;;;;NO;0;;0;Alicia;Lomber;102091;Morrissey, Heather (Rep HMO);Rep HMO;101670;;;;8;0;4;
1658;Mattress Firm;2827 W. Peoria Ave Suite 112;STE 112;Phoenix;AZ;"	85029";(602) 371-8700;"	029116";www.mattressfirm.com/simmons-mattresses-0-c16/;"	33.5812773";"	-112.1237772";44:08,5;227263;446630;"	7446630";"	";"	10060000";"	 ";"	 ";"	 ";"	 ";"	NO        ";15203;SIMMONS;Store Success;West;South West;South West_11;;;Black Diamond Preferred;YES;0;;0;Rene;Nuno;101655;Laney, Mike  (Rep LAN);Rep LAN;100345;;;;12;4;4;
1661;Mattress Firm;4933 E. Ray Rd;;Phoenix;AZ;"	85044";(480) 940-4999;"	029145";www.mattressfirm.com/simmons-mattresses-0-c16/;"	33.3186522";"	-111.9766189";44:09,2;227263;446630;"	7446630";"	";"	10060000";"	 ";"	 ";"	 ";"	 ";"	NO        ";10115;SIMMONS;Store Success;West;South West;South West_11;;;Black Diamond Preferred;YES;0;;0;Rene;Nuno;101655;Laney, Mike  (Rep LAN);Rep LAN;100345;;;;12;4;4;
1670;SackTime;10640 N 71st Pl;;Scottsdale;AZ;"	85254";(480) 948-4560;"	";;"	33.5839559";"	-111.9280229";41:39,2;197474;197474;"	7197474";"	";"	90002204";"	 ";"	 ";"	 ";"	 ";"	NO        ";15220;SIMMONS;Serta Simmons Bedding;SSB;Phoenix;Phoenix_07;;;;NO;0;;0;Michael;Romeo;101109;Stephens, Mason (Rep STP);Rep STP;100992;;;;24;0;4;
1674;Carol's Chair Boutique  Furn Gallery;108 Main St;;Sterling;CO;"	80751";(970) 522-4532;"	";;"	40.623452";"	-103.2064879";41:39,2;188508;188508;"	7188508";"	";"	70550001";"	 ";"	 ";"	 ";"	 ";"	NO        ";16425;SIMMONS;Serta Simmons Bedding;SSB;Phoenix;Phoenix_01;;;;NO;0;;0;Dale;Anderson;101831;Stephens, Mason (Rep STP);Rep STP;100992;;;;24;;4;
1678;Liddiards Home Furnishings;2502 North 400 East;;Tooele;UT;"	84074";(435) 882-0964;"	";www.liddiardhf.com;"	40.5748493";"	-112.2920111";07:15,5;504951;504951;"	7504951";"	";"	10150000";"	 ";"	 ";"	 ";"	 ";"	yes       ";16426;SIMMONS;Serta Simmons Bedding;SSB;Corporate;Corporate;;;;NO;0;;0;Jacob ;Bell;101486;Mersbach, Tom (REP TME);REP TME;101569;;;;4;4;4;
1680;Cazin's;800 Front Street;;Evanston;WY;"	82930";(307) 789-3090;"	";;"	41.2674784";"	-110.963235";12:17,9;417414;417414;"	7417414";"	";"	90002754";"	 ";"	 ";"	 ";"	 ";"	yes       ";16427;SIMMONS;Simmons Bedding;Simmons;Simmons West;West 1;;;;NO;0;;0;Brad;Searle;101643;Mersbach, Tom (REP TME);REP TME;101569;;;;0;0;4;
1683;Fisher Home Furnishings;2175 North Main St.;;North Logan;UT;"	84341";(435) 753-1018;"	";;"	41.771926";"	-111.835338";41:39,3;419454;419454;"	7419454";"	";"	70740070";"	 ";"	 ";"	 ";"	 ";"	yes       ";16428;SIMMONS;Simmons Bedding;Simmons;Simmons West;West 1;;;;NO;0;;0;Brad;Searle;101643;Mersbach, Tom (REP TME);REP TME;101569;;;;4;4;4;
1684;Mountain Comfort Furnishings;507 Summit Blvd. Ste. B;P.O. Box 767;Frisco;CO;"	80443";(970) 668-3661;"	";www.mountaincomfortfrisco.com;"	39.5826676";"	-106.0936742";00:00,0;166959;166959;"	7166959";"	";"	70080528";"	 ";"	 ";"	 ";"	 ";"	NO        ";25400;SIMMONS;Serta Simmons Bedding;SSB;Phoenix;Phoenix_05;;;;NO;0;;0;Matt;Jones;101733;Stephens, Mason (Rep STP);Rep STP;100992;;;;48;0;4;
1687;Mountain Timber Furnishings;535 Zerex St.;P.O. Box 2019;Fraser;CO;"	80442";(970) 726-4444;"	";mountaintimber.com;"	39.9424244";"	-105.8117174";41:39,3;231159;231159;"	7231159";"	";"	90002305";"	 ";"	 ";"	 ";"	 ";"	NO        ";16429;SIMMONS;Serta Simmons Bedding;SSB;Corporate;Corporate;;;;NO;0;;0;Heather;Redman;102032;Morrissey, Heather (Rep HMO);Rep HMO;101670;;;;12;0;4;
1689;Linda's Furniture;3330 Highland Dr;;Salt Lake City;UT;"	84106";(801) 487-3992;"	";;"	40.6990543";"	-111.8509358";41:39,4;176890;176890;"	7443018";"	";"	70740070";"	 ";"	 ";"	 ";"	 ";"	yes       ";25402;SIMMONS;Simmons Bedding;Simmons;Simmons West;West 1;;;;NO;0;;0;Brad;Searle;101643;Mersbach, Tom (REP TME);REP TME;101569;;;;0;0;4;
1717;Sleep Center;1830 W 23rd St;;Panama City;FL;"	32405";(850) 785-0910;"	";;"	30.1903812";"	-85.6893989";41:39,4;245514;245514;"	7245514";"	";"	70080297";"	 ";"	 ";"	 ";"	 ";"	NO        ";25403;SIMMONS;Serta Simmons Bedding;SSB;Nashville;Nashville_01;;;;NO;0;bedking4@comcast.net;0;Tracy;Calamas;101786;Webb, Dennis (Rep WEB);Rep WEB;101189;;;;1;0;4;
1719;Sleep Center;737-A Beal Pkwy NW;;Ft. Walton Beach;FL;"	32547";(850) 314-9906;"	";;"	30.4392404";"	-86.6380589";41:39,4;253798;253798;"	7253798";"	";"	90002436";"	 ";"	 ";"	 ";"	 ";"	NO        ";16430;SIMMONS;Serta Simmons Bedding;SSB;Nashville;Nashville_01;;;;NO;0;;0;Tracy;Calamas;101786;Webb, Dennis (Rep WEB);Rep WEB;101189;;;;1;0;4;
1729;Llyod's Furniture;104 3rd St NW;;Bemidji;MN;"	56601";(218) 751-3769;"	";;"	47.4703174";"	-94.8800183";41:39,5;18175;18175;"	718175";"	";"	90002178";"	 ";"	 ";"	 ";"	 ";"	NO        ";25404;SIMMONS;Serta Simmons Bedding;SSB;Minneapolis;Minneapolis_02;;;;NO;0;;0;Jeffrey;Havrilla;101529;McKittrick, Matt (Rep MMC);Rep MMC;101759;;;;0;;4;
1760;Crane's Mattress Superstore;1922 Tiffin Ave;;Findlay;OH;"	45840";(419) 422-8995;"	";www.cranessleepshoppe.com;"	41.0548024";"	-83.6104583";00:00,0;7258706;7258706;"	7258706";"	";"	70080250";"	 ";"	 ";"	 ";"	 ";"	NO        ";16432;SIMMONS;Store Success;West;Mid West 2;Mid West 2_01;;;;YES;0;cranessleep@aol.com;0;Austin;Evans;102129;Gorski, Kenneth (REP KGO);REP KGO;101639;;;;12;12;4;
1772;Mattress Place;616 Stevens Avenue;;Solana Beach;CA;"	92075";(858) 259-6994;"	";;"	32.9886596";"	-117.2602959";07:15,6;421475;421475;"	7421475";"	";"	90002855";"	 ";"	 ";"	 ";"	 ";"	NO        ";15481;SIMMONS;Serta Simmons Bedding;SSB;Corporate;Corporate;;;;NO;0;;0;Heather;Redman;102032;Morrissey, Heather (Rep HMO);Rep HMO;101670;;;;12;0;4;
1773;Al Davis FurnitureMattress World;1601 University Avenue;;San Diego;CA;"	92103";(619) 260-8000;"	";www.sandiegobeds.com;"	32.7482339";"	-117.1490681";12:18,0;244813;244813;"	7244813";"	";"	90002373";"	 ";"	 ";"	 ";"	 ";"	NO        ";15482;SIMMONS;Serta Simmons Bedding;SSB;Los Angeles;Los Angeles_00;;;;NO;0;;0;Melissa;Hernando;101887;Van Emmerik, Shawn (Rep SVE);Rep SVE;101570;;;;8;0;4;
1786;Furniture Depot 2;7551 Broadway;;Lemon Grove;CA;"	91945";(619) 469-9945;"	";;"	32.7423255";"	-117.035538";41:39,7;421526;421526;"	7421526";"	";"	90002861";"	 ";"	 ";"	 ";"	 ";"	NO        ";15483;SIMMONS;Serta Simmons Bedding;SSB;Los Angeles;Los Angeles_00;;;;NO;0;;0;Melissa;Hernando;101887;Van Emmerik, Shawn (Rep SVE);Rep SVE;101570;;;;8;0;4;
